data,position
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,4,5,0,0,0,0,3,48,54,60,19,2,0,0,0,1,34,55,9,24,8,0,0,0,0,0,0,2,33,22,2,0,0,0,0,0,0,2,22,22,2,0,0,0,0,0,0,2,27,20,3,0,0,0,0,0,0,2,20,47,61,1,0,0,0,0,0,2,33,69,42,1,0,0,0,0,0,3,28,21,2,0,0,0,0,2,22,21,36,12,1,0,0,0,0,0,0,4,30,6,0,0,0,0,0,0,0,1,25,37,7,0,0,0,0,0,0,0,1,6,36,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,3,5,6,1,0,0,0,3,48,54,60,19,2,0,0,0,0,32,57,10,24,8,0,0,0,0,0,1,2,32,22,1,0,0,0,0,0,0,2,21,22,2,0,0,0,0,0,0,2,27,20,3,0,0,0,0,0,0,1,20,47,61,1,0,0,0,0,0,2,33,69,42,1,0,0,0,0,0,3,29,20,2,0,0,0,0,1,20,21,36,12,1,0,0,0,0,0,0,4,30,6,0,0,0,0,0,0,0,1,26,37,7,0,0,0,0,0,0,0,1,6,36,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,3,50,54,60,19,2,0,0,0,0,34,57,10,24,8,0,0,0,0,0,1,2,33,22,2,0,0,0,0,1,0,2,22,22,1,0,0,0,0,0,0,2,26,20,4,0,0,0,0,0,0,1,20,47,62,1,0,0,0,0,1,2,33,69,41,1,0,0,0,0,0,3,29,20,2,0,0,0,0,1,19,20,36,12,1,0,0,0,0,0,0,4,30,6,0,0,0,0,0,0,0,1,25,37,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,3,52,54,59,18,2,0,0,0,0,36,58,10,22,7,0,0,0,0,0,1,2,33,20,2,0,0,0,0,1,0,2,22,22,1,0,0,0,0,0,0,2,26,20,4,0,0,0,0,0,0,1,20,48,63,1,0,0,0,0,0,2,33,69,40,1,0,0,0,0,0,3,29,21,2,0,0,0,0,1,19,20,36,12,1,0,0,0,0,0,0,4,31,6,0,0,0,0,0,0,0,2,25,37,8,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,3,54,54,58,17,2,0,0,0,1,38,58,10,21,6,0,0,0,0,0,1,2,33,18,1,0,0,0,0,2,0,2,22,22,2,0,0,0,0,0,0,2,26,20,3,0,0,0,0,0,0,1,21,47,63,1,0,0,0,0,0,2,33,70,41,1,0,0,0,0,0,3,29,21,2,0,0,0,0,2,19,20,36,13,1,0,0,0,0,0,0,4,31,6,1,0,0,0,0,0,0,2,25,37,8,0,0,0,0,0,0,0,1,6,38,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,4,54,54,59,17,2,0,0,0,1,40,59,9,22,5,0,0,0,0,0,1,2,35,17,1,0,0,0,0,2,1,3,22,22,1,0,0,0,0,0,0,3,26,20,3,0,0,0,0,0,0,1,21,47,59,1,0,0,0,0,1,2,33,69,40,1,0,0,0,0,1,4,28,21,2,0,0,0,0,4,20,20,36,11,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,26,38,7,0,0,0,0,0,0,0,1,6,38,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,54,54,60,17,2,0,0,0,1,41,59,10,22,5,0,0,0,0,0,1,2,36,16,1,0,0,0,0,1,0,3,23,22,2,0,0,0,0,0,0,3,26,21,3,0,0,0,0,0,0,1,21,47,55,1,0,0,0,0,0,2,33,69,40,1,0,0,0,0,1,5,28,20,2,0,0,0,0,6,19,21,35,9,1,0,0,0,0,0,0,3,30,5,0,0,0,0,0,0,0,2,28,38,7,0,0,0,0,0,0,0,1,6,38,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,4,56,54,60,15,2,0,0,0,1,43,59,9,22,6,0,0,0,0,0,1,2,37,16,1,0,0,0,0,2,0,4,23,22,2,0,0,0,0,0,0,3,26,21,3,0,0,0,0,0,0,2,20,47,54,1,0,0,0,0,0,2,33,68,39,1,0,0,0,0,0,5,27,20,2,0,0,0,0,8,19,22,35,8,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,29,39,7,0,0,0,0,0,0,0,1,6,38,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,2,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,4,56,54,60,16,2,0,0,0,1,43,59,10,22,6,0,0,0,0,0,1,2,37,17,1,0,0,0,0,2,0,4,22,22,2,0,0,0,0,0,0,4,26,21,3,0,0,0,0,0,0,2,21,47,55,1,0,0,0,0,0,2,34,68,40,1,0,0,0,0,1,5,28,20,2,0,0,0,0,8,19,22,35,9,1,0,0,0,0,0,0,4,30,5,0,0,0,0,0,0,0,2,29,39,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,57,54,60,17,1,0,0,0,1,44,59,10,23,5,0,0,0,0,0,1,2,37,16,1,0,0,0,0,1,0,3,22,22,1,0,0,0,0,0,0,4,26,20,3,0,0,0,0,0,0,1,21,47,56,1,0,0,0,1,0,2,34,68,40,1,0,0,0,0,0,5,27,20,2,0,0,0,0,6,19,22,34,9,1,0,0,0,0,0,0,3,30,5,0,0,0,0,0,0,0,2,29,39,7,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
