data,position
"[1,0,17,4,3,21,7,3,0,0,0,0,9,42,39,63,24,0,0,0,0,0,2,14,6,52,62,1,0,0,0,0,0,1,8,54,54,0,0,0,0,0,1,5,47,32,49,0,0,0,0,0,0,3,53,54,51,0,0,0,0,0,0,3,44,88,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,60,90,42,11,1,0,0,0,0,1,94,53,6,2,1,0,0,0,0,0,53,63,33,5,2,0,0,0,0,0,2,6,13,20,84,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,11,4,3,21,8,3,1,0,0,0,9,42,40,62,24,0,0,0,0,0,2,14,6,52,62,1,0,0,0,0,0,1,8,54,54,0,0,0,0,0,1,5,48,32,49,0,0,0,0,0,0,3,52,54,50,1,0,0,0,0,0,3,44,88,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,60,90,42,11,1,0,0,0,0,0,95,53,6,2,1,0,0,0,0,0,53,63,32,6,2,0,0,0,0,0,2,5,13,20,84,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,6,4,3,21,8,3,1,0,0,0,9,42,39,63,24,0,0,0,0,0,2,14,6,52,62,1,0,0,0,0,1,1,8,54,54,1,0,0,0,0,1,5,48,32,50,0,0,0,0,0,0,3,52,54,51,1,0,0,0,0,0,3,44,88,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,60,90,42,11,1,0,0,0,0,1,95,53,6,2,1,0,0,0,0,0,53,63,32,6,2,0,0,0,0,0,2,5,13,20,84,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0]",3
"[1,0,1,3,3,21,7,3,0,0,0,0,4,39,39,63,25,0,0,0,0,0,1,14,6,52,61,1,0,0,0,0,0,1,8,54,55,0,0,0,0,0,1,6,48,32,49,1,0,0,0,0,1,3,53,53,51,0,0,0,0,0,0,2,44,87,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,61,90,41,12,1,0,0,0,0,1,95,53,6,2,1,0,0,0,0,0,54,63,33,5,2,0,0,0,0,0,2,5,13,19,81,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,2,3,21,7,3,1,0,0,0,1,28,37,66,23,0,0,0,0,0,1,16,6,52,61,1,0,0,0,0,1,1,8,54,57,1,0,0,0,0,1,7,48,32,50,0,0,0,0,0,1,4,52,53,51,0,0,0,0,0,0,3,44,86,102,1,0,0,0,0,0,6,68,87,84,1,0,0,0,0,1,62,90,42,11,1,0,0,0,0,1,97,53,6,2,1,0,0,0,0,0,54,63,32,5,1,0,0,0,0,0,2,5,13,19,81,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,0,2,21,8,3,1,0,0,0,0,2,35,66,24,0,0,0,0,0,1,19,5,52,62,1,0,0,0,0,0,3,8,53,56,1,0,0,0,0,1,8,49,32,50,1,0,0,0,0,0,4,54,53,51,0,0,0,0,0,0,3,45,87,102,1,0,0,0,0,0,6,68,86,84,1,0,0,0,0,1,64,91,42,9,1,0,0,0,0,1,101,54,7,2,1,0,0,0,0,0,56,64,32,5,2,0,0,0,0,0,2,5,13,19,74,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,2,22,8,3,0,0,0,0,0,2,36,64,24,0,1,0,0,0,1,21,5,52,62,0,0,0,0,0,0,3,7,53,56,1,0,0,0,0,1,8,48,31,49,0,0,0,0,0,0,4,55,53,51,0,0,0,0,0,0,3,46,87,103,1,0,0,0,0,0,7,68,86,84,1,0,0,0,0,1,63,91,42,9,1,0,0,0,0,1,100,54,6,2,1,0,0,0,0,0,56,63,33,5,2,0,0,0,0,0,2,5,13,19,75,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,0,2,22,8,3,0,0,0,0,0,1,37,62,24,0,0,0,0,0,7,31,5,52,62,1,0,0,0,0,1,2,7,53,56,1,0,0,0,0,1,7,48,32,50,0,0,0,0,0,0,3,55,54,51,0,0,0,0,0,0,2,47,88,102,1,0,0,0,0,0,6,68,87,84,1,0,0,0,0,1,63,90,42,9,1,0,0,0,0,1,100,53,6,2,1,0,0,0,0,0,56,63,33,5,2,0,0,0,0,0,2,5,13,19,72,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,0,1,2,21,7,3,0,0,0,0,0,1,38,62,20,0,0,0,1,1,89,46,5,52,61,1,0,0,1,0,1,2,7,53,57,0,0,0,0,0,1,7,47,32,51,0,0,0,1,0,0,2,54,54,52,0,0,0,1,0,0,2,46,88,102,1,0,0,0,0,0,6,68,87,84,1,0,0,1,0,1,62,90,42,12,0,0,0,1,0,0,97,53,6,2,1,0,0,0,0,0,54,63,33,5,2,0,0,0,0,0,2,5,13,19,81,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[2,0,0,1,2,20,6,3,0,0,0,0,0,1,40,62,18,0,0,0,2,0,214,49,5,52,59,1,0,0,2,0,0,1,7,53,57,1,0,0,0,0,0,2,46,31,53,0,0,0,0,0,0,2,55,54,53,0,0,0,0,0,1,2,44,88,104,1,0,0,0,0,1,6,68,88,85,1,0,0,0,0,0,62,90,42,12,1,0,0,1,0,0,97,53,7,2,1,0,0,0,0,0,53,63,33,5,2,0,0,0,0,0,2,5,13,21,87,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
"[1,0,0,1,2,20,5,3,1,0,0,0,0,1,41,62,18,0,0,0,1,78,203,42,6,52,58,1,0,0,0,1,1,1,8,54,55,1,0,0,0,0,0,4,46,31,53,0,0,0,0,1,0,3,54,54,54,1,0,0,0,0,1,3,41,88,103,1,0,0,0,0,0,5,68,87,84,1,0,0,0,0,1,62,90,42,12,1,0,0,0,0,0,97,53,7,2,1,0,0,0,0,0,53,63,33,6,2,0,0,0,0,0,2,5,13,20,88,2,1,0,0,0,0,0,0,1,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0]",3
